cmd_vx,cmd_yaw,conf,event,frame_age,fw_ts,px,py,pz,size,size_bucket,t,tracking,wall,x,x_bin,x_soft,yaw
0.0,0.0,0.9914636015892029,,0.06280233402503654,14929,2.0214197069684525e-12,1.5325678822796646e-13,0.8436936140060425,0.375,1,11.74941987497732,0,1789088555.191815,-0.444444477558136,2,-0.45632022619247437,0.0
0.0,0.0,0.9873987436294556,,0.045663208002224565,14981,2.0518899079835506e-12,1.5556420084397726e-13,0.8421400785446167,0.375,1,11.805990166962147,0,1789088555.2483861,-0.444444477558136,2,-0.4535582661628723,0.0
0.2,26.66666865348816,0.9823458790779114,,0.008649917028378695,15033,2.0816297904152625e-12,1.578160752037025e-13,0.8407019376754761,0.375,1,11.82769816700602,1,1789088555.270095,-0.444444477558136,2,-0.4537339210510254,0.0
0.2,26.66666865348816,0.9931291937828064,,0.008015582978259772,15079,6.35849062291527e-08,-2.121833264645545e-10,0.83957439661026,0.375,1,11.894163749995641,1,1789088555.336562,-0.444444477558136,2,-0.44732269644737244,0.0
0.2,26.66666865348816,0.9993498921394348,,0.017399709031451494,15179,0.0002597640850581229,-6.07846743605478e-07,0.8371610641479492,0.375,1,11.969843833998311,1,1789088555.412244,-0.444444477558136,2,-0.4480958878993988,0.056125544011592865
0.2,26.66666865348816,0.9835837483406067,,0.002760707982815802,15230,0.0012437405530363321,4.278992946638027e-07,0.8360353708267212,0.375,1,12.021442041965201,1,1789088555.463843,-0.444444477558136,2,-0.4308823347091675,0.22685223817825317
0.0,26.66666865348816,0.9963966012001038,,0.0073238330078311265,15285,0.0035483515821397305,1.1374982932466082e-05,0.8348897695541382,0.625,2,12.092357583984267,1,1789088555.5347588,-0.444444477558136,2,-0.43899181485176086,0.6226764917373657
0.2,26.66666865348816,0.9962413311004639,,0.012447333021555096,15380,0.009568947367370129,4.4782795157516375e-05,0.8330914974212646,0.375,1,12.163567833951674,1,1789088555.605972,-0.444444477558136,2,-0.4190714359283447,1.983792781829834
0.0,26.66666865348816,0.9959800243377686,,0.02094037499045953,15432,0.013141038827598095,5.4304200602928177e-05,0.8322287797927856,0.625,2,12.237748666957486,1,1789088555.680154,-0.444444477558136,2,-0.4158613681793213,3.0635523796081543
0.0,26.66666865348816,0.9980930685997009,,0.005013875022996217,15480,0.016473500058054924,6.628401024499908e-05,0.8315300345420837,0.625,2,12.287539249984547,1,1789088555.7299461,-0.444444477558136,2,-0.3901612162590027,4.221857070922852
0.0,13.333333432674408,0.9964141249656677,,0.014070292003452778,15580,0.023362992331385612,0.00018852711946237832,0.8302130103111267,0.625,2,12.362732041976415,1,1789088555.80514,-0.2222222238779068,3,-0.3072407841682434,6.964504241943359
0.2,13.333333432674408,0.9968825578689575,,0.020237333024851978,15631,0.026471108198165894,0.00030215439619496465,0.8296335935592651,0.375,1,12.433821249986067,1,1789088555.876231,-0.2222222238779068,3,-0.24959796667099,8.155512809753418
0.2,13.333333432674408,0.994706928730011,,0.0017991659697145224,15681,0.029017286375164986,0.00037153050652705133,0.8291109800338745,0.375,1,12.48154483397957,1,1789088555.923955,-0.2222222238779068,3,-0.23596255481243134,9.115850448608398
0.0,13.333333432674408,0.9962365031242371,,0.006131000001914799,15730,0.030595563352108,0.00040853332029655576,0.8287103772163391,0.625,2,12.553095749986824,1,1789088555.995508,-0.2222222238779068,3,-0.2326468974351883,9.806227684020996
0.0,13.333333432674408,0.995053231716156,,0.012927417003083974,15833,0.03518064320087433,0.0007992435712367296,0.8279079794883728,0.625,2,12.626227249973454,1,1789088556.068641,-0.2222222238779068,3,-0.21595343947410583,11.107351303100586
0.2,13.333333432674408,0.9960380792617798,,0.015427584003191441,15880,0.038927461951971054,0.00126460543833673,0.8275396227836609,0.375,1,12.69579079200048,1,1789088556.138207,-0.2222222238779068,3,-0.22093620896339417,11.650283813476562
0.2,13.333333432674408,0.9974011182785034,,0.021248499979265034,15980,0.04578723758459091,0.0020756067242473364,0.8268885612487793,0.375,1,12.7675967089599,1,1789088556.210013,-0.2222222238779068,3,-0.20971813797950745,12.474079132080078
0.0,13.333333432674408,0.9964638352394104,,0.006296125007793307,16029,0.04785991460084915,0.0022887170780450106,0.8266492486000061,0.625,2,12.818810124997981,1,1789088556.261228,-0.2222222238779068,3,-0.2103031724691391,12.850754737854004
0.0,13.333333432674408,0.9711835980415344,,0.006149167020339519,16083,0.051936980336904526,0.002879548817873001,0.8262905478477478,0.625,2,12.885918458981905,1,1789088556.328338,-0.2222222238779068,3,-0.1823878288269043,13.524945259094238
0.0,13.333333432674408,0.9991798996925354,,0.011874874995555729,16130,0.055144742131233215,0.003406478790566325,0.8260555863380432,0.625,2,12.958304708998185,1,1789088556.400725,-0.2222222238779068,3,-0.16394805908203125,13.953978538513184
0.0,13.333333432674408,0.9929088354110718,,0.016055165964644402,16230,0.0625363290309906,0.004721384961158037,0.8255279660224915,0.625,2,13.029343625006732,1,1789088556.471766,-0.2222222238779068,3,-0.12701450288295746,15.160688400268555
0.0,0.0,0.9960454106330872,,0.02083612501155585,16280,0.0653017982840538,0.005196529906243086,0.8252836465835571,0.625,2,13.100233499950264,1,1789088556.5426571,0.0,4,-0.0677342340350151,15.835707664489746
0.2,0.0,0.9919484853744507,,0.0021169169922359288,16330,0.06786969304084778,0.005683479830622673,0.8250614404678345,0.375,1,13.148135249968618,1,1789088556.59056,0.0,4,-0.024065008386969566,16.582271575927734
0.2,0.0,0.9778684973716736,,0.007505457964725792,16429,0.07257182896137238,0.006719188764691353,0.8246572613716125,0.375,1,13.219494791992474,1,1789088556.661921,0.0,4,-0.01466711238026619,18.094993591308594
0.0,0.0,0.9850281476974487,,0.008952375035732985,16480,0.07463767379522324,0.007210865151137114,0.8244529962539673,0.625,2,13.287811541988049,1,1789088556.730239,0.0,4,-0.017615415155887604,18.625812530517578
0.0,0.0,0.9922122955322266,,0.010904582974035293,16530,0.07698162645101547,0.007805985864251852,0.8242547512054443,0.625,2,13.356134583998937,1,1789088556.7985642,0.0,4,-0.017969653010368347,18.922515869140625
0.0,0.0,0.9872207045555115,,0.011502209003083408,16579,0.08095219731330872,0.008881799876689911,0.8239794373512268,0.625,2,13.422703041986097,1,1789088556.865134,0.0,4,-0.01516219973564148,19.268892288208008
0.2,0.0,0.984403133392334,,0.012096374994143844,16680,0.08829323202371597,0.01095199678093195,0.8235180377960205,0.375,1,13.489676458993927,1,1789088556.932109,0.0,4,-0.000512296159286052,19.423019409179688
0.2,0.0,0.9840502142906189,,0.01719791698269546,16733,0.09132103621959686,0.011811484582722187,0.8232892751693726,0.375,1,13.563202249992173,1,1789088557.005636,0.0,4,0.0020388516131788492,19.363676071166992
0.0,0.0,0.9842404127120972,,8.62079905346036e-05,16780,0.09394073486328125,0.012586753815412521,0.8230974078178406,0.625,2,13.611080749949906,1,1789088557.053515,0.0,4,0.0078109013848006725,19.31748390197754
0.0,0.0,0.9921442270278931,,0.0021328330039978027,16879,0.09963493049144745,0.014352582395076752,0.822785496711731,0.625,2,13.680317958991509,1,1789088557.122754,0.0,4,0.0028444717172533274,19.304895401000977
0.0,0.0,0.9983996748924255,,0.023541875008959323,16930,0.1029827818274498,0.015406602062284946,0.8226282000541687,0.625,2,13.768847499974072,1,1789088557.211286,0.0,4,0.018906110897660255,19.386741638183594
0.0,0.0,0.9989959597587585,,0.003093999985139817,16984,0.10591194033622742,0.016370447352528572,0.822471022605896,0.625,2,13.815032166952733,1,1789088557.257471,0.0,4,0.007978140376508236,19.448814392089844
0.0,0.0,0.9990792274475098,,0.007348540995735675,17082,0.11031541228294373,0.017877811565995216,0.8221378326416016,0.625,2,13.886312249989714,1,1789088557.328753,0.0,4,0.028195427730679512,19.70466423034668
0.0,0.0,0.9991689920425415,,0.008594500017352402,17130,0.11206989735364914,0.01847359538078308,0.8219727873802185,0.625,2,13.954076208989136,1,1789088557.396518,0.0,4,0.02991599589586258,19.845989227294922
0.0,0.0,0.9956328272819519,,0.01226962503278628,17182,0.11350655555725098,0.018968436866998672,0.8218322396278381,0.625,2,14.024445583985653,1,1789088557.466889,0.0,4,0.048394836485385895,19.910268783569336
0.0,0.0,0.982874870300293,,0.017304375011008233,17279,0.11582395434379578,0.019805913791060448,0.8215200901031494,0.625,2,14.096162749978248,1,1789088557.538608,0.0,4,0.06874504685401917,19.956140518188477
0.0,0.0,0.9702989459037781,,0.0020437920466065407,17330,0.11692295223474503,0.020197702571749687,0.8213571906089783,0.625,2,14.14745441696141,1,1789088557.5899,0.0,4,0.082562156021595,19.912303924560547
0.0,0.0,0.9961102604866028,,0.010878290981054306,17381,0.11801024526357651,0.02059108205139637,0.8212007284164429,0.625,2,14.22346245899098,1,1789088557.66591,0.0,4,0.08640579134225845,19.85144805908203
0.0,0.0,0.9695993661880493,,0.013451749982777983,17480,0.11978162825107574,0.021260611712932587,0.8208752274513245,0.625,2,14.294028083968442,1,1789088557.736477,0.0,4,0.0882570818066597,19.71406364440918
0.0,-13.333333432674408,0.9643195271492004,,0.02315770904533565,17529,0.12051484733819962,0.021538307890295982,0.820746123790741,0.625,2,14.370703541964758,1,1789088557.8131552,0.2222222238779068,5,0.10054060071706772,19.685609817504883
0.0,-13.333333432674408,0.9887194037437439,,0.004035334044601768,17579,0.12125280499458313,0.021829500794410706,0.8205740451812744,0.625,2,14.417348166985903,1,1789088557.8598,0.2222222238779068,5,0.11805059760808945,19.677019119262695
0.0,-13.333333432674408,0.9984242916107178,,0.004901624983176589,17680,0.12242180854082108,0.02233094908297062,0.8202180862426758,0.625,2,14.485168166982476,1,1789088557.9276218,0.2222222238779068,5,0.1517687439918518,19.724533081054688
0.0,-13.333333432674408,0.9981683492660522,,0.013798667001537979,17729,0.12282923609018326,0.022525088861584663,0.820039689540863,0.625,2,14.560839833982754,1,1789088558.003295,0.2222222238779068,5,0.15327051281929016,19.71710968017578
0.0,-13.333333432674408,0.9984834790229797,,0.023198000038973987,17830,0.12339171022176743,0.02282162755727768,0.8196935057640076,0.625,2,14.637187666958198,1,1789088558.079645,0.2222222238779068,5,0.16289685666561127,19.425636291503906
0.0,-13.333333432674408,0.9988671541213989,,0.0061062080203555524,17879,0.1235784962773323,0.022948771715164185,0.8194637298583984,0.625,2,14.686356708989479,1,1789088558.1288152,0.2222222238779068,5,0.1654837280511856,19.027002334594727
0.0,-13.333333432674408,0.9975082874298096,,0.014252958993893117,17930,0.12368142604827881,0.023048097267746925,0.8192543387413025,0.625,2,14.761915958952159,1,1789088558.204376,0.2222222238779068,5,0.16279932856559753,18.520246505737305
0.0,-13.333333432674408,0.9919818043708801,,0.019734542001970112,17979,0.12373235821723938,0.023125387728214264,0.8190388083457947,0.625,2,14.833494499966037,1,1789088558.275955,0.2222222238779068,5,0.13868337869644165,17.888025283813477
0.0,0.0,0.9882424473762512,,0.0012002919684164226,18029,0.12375161796808243,0.023184696212410927,0.8188582062721252,0.625,2,14.881147084000986,1,1789088558.323609,0.0,4,0.08343271911144257,17.332759857177734
0.0,0.0,0.9888917803764343,,0.002423291967716068,18130,0.12365822494029999,0.023276956751942635,0.8183845281600952,0.625,2,14.948826292005833,1,1789088558.391289,0.0,4,0.08718866854906082,15.942926406860352
0.0,0.0,0.9920810461044312,,0.008579750021453947,18179,0.12355464696884155,0.023302273824810982,0.8181343078613281,0.625,2,15.022105416981503,1,1789088558.46457,0.0,4,0.08341037482023239,15.292757034301758
0.0,0.0,0.992890477180481,,0.00981229095486924,18280,0.12329632043838501,0.023329859599471092,0.8176513314247131,0.625,2,15.090759583981708,1,1789088558.533226,0.0,4,0.09185603260993958,14.457256317138672
0.0,0.0,0.9822038412094116,,0.018444792018271983,18329,0.12314800173044205,0.023334195837378502,0.8174543380737305,0.625,2,15.165567666990682,1,1789088558.608036,0.0,4,0.09952890872955322,14.295711517333984
0.0,-13.333333432674408,0.9920461177825928,,0.0004285830073058605,18380,0.1229487955570221,0.02333015948534012,0.8172042965888977,0.625,2,15.214750833983999,1,1789088558.6572201,0.2222222238779068,5,0.0988510325551033,14.235567092895508
0.0,-13.333333432674408,0.9971816539764404,,0.006152665999252349,18479,0.12250441312789917,0.023306401446461678,0.8167098164558411,0.625,2,15.286850249976851,1,1789088558.729321,0.2222222238779068,5,0.14351484179496765,14.421213150024414
0.0,-13.333333432674408,0.9962736368179321,,0.011083667050115764,18530,0.12227917462587357,0.023291118443012238,0.8165172934532166,0.625,2,15.358363749983255,1,1789088558.800836,0.2222222238779068,5,0.16186855733394623,14.507269859313965
0.0,-13.333333432674408,0.9976644515991211,,0.015054374991450459,18579,0.1220245212316513,0.023270566016435623,0.816284716129303,0.625,2,15.428951916983351,1,1789088558.871426,0.2222222238779068,5,0.16993018984794617,14.53054428100586
0.0,-13.333333432674408,0.9983727335929871,,0.023409083019942045,18679,0.12146321684122086,0.023223554715514183,0.8158196806907654,0.625,2,15.504058291960973,1,1789088558.946534,0.2222222238779068,5,0.17328782379627228,14.041478157043457
0.0,-13.333333432674408,0.9972671270370483,,0.0011883340193890035,18730,0.12119217216968536,0.023201899603009224,0.81563401222229,0.625,2,15.548153749958146,1,1789088558.99063,0.2222222238779068,5,0.15271921455860138,13.612765312194824
0.0,-13.333333432674408,0.9984464049339294,,0.0085898750112392,18780,0.12087863683700562,0.023177126422524452,0.815405547618866,0.625,2,15.621934166993015,1,1789088559.0644119,0.2222222238779068,5,0.14795753359794617,12.909510612487793
0.0,0.0,0.993946373462677,,0.009858625009655952,18880,0.12026707082986832,0.02313188649713993,0.8149875402450562,0.625,2,15.6899423750001,1,1789088559.132422,0.0,4,0.09630461037158966,11.350955963134766
0.0,0.0,0.9907874464988708,,0.004790083039551973,18929,0.1199292317032814,0.023107919842004776,0.8147623538970947,0.625,2,15.751623791991733,1,1789088559.194104,0.0,4,0.06558338552713394,10.514729499816895
0.0,0.0,0.9966288208961487,,0.010353707999456674,18979,0.11963194608688354,0.023086734116077423,0.8145673274993896,0.625,2,15.825647041958291,1,1789088559.268129,0.0,4,0.057129744440317154,9.882819175720215
0.0,0.0,0.9955970644950867,,0.017122875025961548,19079,0.11901718378067017,0.02304256334900856,0.814172625541687,0.625,2,15.898254166997503,1,1789088559.340738,0.0,4,0.05481363832950592,9.024094581604004
0.0,0.0,0.9919267892837524,,0.02097170799970627,19130,0.11867208778858185,0.023016422986984253,0.8139634132385254,0.625,2,15.968433833972085,1,1789088559.410919,0.0,4,0.0686153843998909,8.867643356323242
